Designator,Mid X,Mid Y,Layer,Rotation
ANT1,28.0,4.5,Top,0.0
ANT2,28.0,13.5,Top,0.0
ANT3,2.3,19.0,Top,0.0
C1,4.2,21.5,Top,0.0
C2,4.2,23.5,Top,0.0
C3,4.2,25.5,Top,0.0
C4,6.5,19.0,Top,0.0
C5,18.0,25.78,Top,0.0
C6,19.7,25.78,Top,0.0
C7,12.6,22.0,Top,0.0
C8,25.5,25.78,Top,180.0
C9,11.5,28.5,Top,0.0
C10,27.5,25.0,Top,0.0
C11,2.5,7.0,Top,0.0
C12,2.5,15.4,Top,0.0
C13,4.5,33.3,Top,0.0
C14,25.5,8.0,Top,0.0
C15,25.5,9.2,Top,0.0
C16,17.6,22.6,Top,-90.0
C17,17.6,20.9,Top,-90.0
C18,2.9,12.8,Top,0.0
C19,2.9,13.9,Top,0.0
C20,2.2,25.95,Top,180.0
J1,3.5,34.5,Top,0.0
J2,12.0,32.5,Top,0.0
LED1,16.0,27.5,Top,0.0
R1,13.0,29.5,Top,0.0
R2,15.5,29.8,Top,0.0
R3,16.5,24.5,Top,0.0
R4,16.0,26.3,Top,0.0
R5,2.8,24.7,Top,90.0
R6,13.0,21.0,Top,0.0
R7,16.5,25.35,Top,180.0
R8,2.8,22.8,Top,90.0
SIM1,23.6,31.3,Top,0.0
SW1,4.5,28.85,Top,0.0
U1,15.0,10.0,Top,0.0
U2,8.5,23.5,Top,0.0
U3,13.5,24.5,Top,180.0
U4,21.5,22.5,Top,0.0
U5,27.5,22.0,Top,0.0
U6,2.6,10.1,Top,0.0
Y1,16.0,21.8,Top,0.0
